"participant" "block" "trial" "screenID" "setsize" "nTarget" "nDistractor" "layout" "colorCon" "radius" "cueType" "cueColor" "condition" "ratio" "correct" "acc" "RT" "response"
"81" 1 1 20 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 995 "arrowdown"
"82" 1 1 21 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1464 "arrowup"
"83" 1 1 22 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1454 "arrowdown"
"84" 1 1 23 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1901 "arrowup"
"85" 1 1 24 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1131 "arrowdown"
"86" 1 1 25 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 781 "arrowdown"
"87" 1 1 26 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1728 "arrowdown"
"88" 1 1 27 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1094 "arrowup"
"89" 1 1 28 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1717 "arrowdown"
"90" 1 1 29 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 963 "arrowdown"
"91" 1 1 30 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1821 "arrowup"
"92" 1 1 31 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1949 "arrowup"
"93" 1 1 32 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1165 "arrowup"
"94" 1 1 33 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 2051 "arrowup"
"95" 1 1 34 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1321 "arrowdown"
"96" 1 1 35 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1865 "arrowup"
"97" 1 1 36 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 787 "arrowdown"
"98" 1 1 37 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1126 "arrowdown"
"99" 1 1 38 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1965 "arrowup"
"100" 1 1 39 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 2032 "arrowdown"
"101" 1 1 40 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 764 "arrowdown"
"102" 1 1 41 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 2124 "arrowdown"
"103" 1 1 42 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1481 "arrowup"
"104" 1 1 43 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1784 "arrowup"
"105" 1 1 44 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 815 "arrowup"
"106" 1 1 45 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1161 "arrowdown"
"107" 1 1 46 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1794 "arrowdown"
"108" 1 1 47 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1715 "arrowup"
"109" 1 1 48 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1293 "arrowdown"
"110" 1 1 49 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1481 "arrowup"
"111" 1 1 50 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1114 "arrowdown"
"112" 1 1 51 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1762 "arrowdown"
"113" 1 1 52 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1901 "arrowup"
"114" 1 1 53 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1333 "arrowup"
"115" 1 1 54 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 697 "arrowup"
"116" 1 1 55 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 2033 "arrowup"
"117" 1 1 56 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1905 "arrowdown"
"118" 1 1 57 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 1647 "arrowup"
"119" 1 1 58 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowdown" 1 1849 "arrowdown"
"120" 1 1 59 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "negative" "even" "arrowup" 1 820 "arrowup"
"121" 1 2 0 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "neutral" "even" "arrowup" 1 2295 "arrowup"
"122" 1 2 1 "judge" 12 6 6 "intermixed" "random" "large" "color" NA "neutral" "even" "arrowup" 1 2035 "arrowup"
