"id" "setsize" "ss_lin" "ss_fac" "rsizeCorrect" "rsizeList" "rsizeNPL" "correct" "intrusion" "new"
"353" "20" 8 3 "8" 1 2 2 21 2 0
"354" "21" 8 3 "8" 1 2 2 23 0 0
"355" "3" 8 3 "8" 1 2 2 18 5 0
"356" "5" 8 3 "8" 1 2 2 20 2 1
"357" "6" 8 3 "8" 1 2 2 22 1 0
"358" "7" 8 3 "8" 1 2 2 19 4 0
"359" "8" 8 3 "8" 1 2 2 17 5 1
"360" "9" 8 3 "8" 1 2 2 18 4 1
"361" "1" 4 -1 "4" 1 4 4 23 0 0
"362" "10" 4 -1 "4" 1 4 4 22 1 0
"363" "11" 4 -1 "4" 1 4 4 22 1 0
"364" "12" 4 -1 "4" 1 4 4 22 1 0
"365" "13" 4 -1 "4" 1 4 4 22 1 0
"366" "14" 4 -1 "4" 1 4 4 23 0 0
"367" "15" 4 -1 "4" 1 4 4 22 1 0
"368" "16" 4 -1 "4" 1 4 4 23 0 0
"369" "17" 4 -1 "4" 1 4 4 23 0 0
"370" "18" 4 -1 "4" 1 4 4 23 0 0
"371" "19" 4 -1 "4" 1 4 4 22 1 0
"372" "2" 4 -1 "4" 1 4 4 23 0 0
"373" "20" 4 -1 "4" 1 4 4 21 1 1
"374" "21" 4 -1 "4" 1 4 4 22 1 0
"375" "3" 4 -1 "4" 1 4 4 22 1 0
"376" "5" 4 -1 "4" 1 4 4 23 0 0
"377" "6" 4 -1 "4" 1 4 4 23 0 0
"378" "7" 4 -1 "4" 1 4 4 23 0 0
"379" "8" 4 -1 "4" 1 4 4 20 3 0
"380" "9" 4 -1 "4" 1 4 4 22 1 0
"381" "1" 6 1 "6" 1 4 4 17 6 0
"382" "10" 6 1 "6" 1 4 4 21 2 0
"383" "11" 6 1 "6" 1 4 4 20 1 2
"384" "12" 6 1 "6" 1 4 4 22 1 0
"385" "13" 6 1 "6" 1 4 4 20 3 0
"386" "14" 6 1 "6" 1 4 4 11 12 0
"387" "15" 6 1 "6" 1 4 4 22 1 0
"388" "16" 6 1 "6" 1 4 4 20 3 0
"389" "17" 6 1 "6" 1 4 4 16 7 0
"390" "18" 6 1 "6" 1 4 4 19 4 0
"391" "19" 6 1 "6" 1 4 4 17 6 0
"392" "2" 6 1 "6" 1 4 4 23 0 0
"393" "20" 6 1 "6" 1 4 4 21 1 1
"394" "21" 6 1 "6" 1 4 4 21 2 0
"395" "3" 6 1 "6" 1 4 4 19 4 0
"396" "5" 6 1 "6" 1 4 4 20 3 0
"397" "6" 6 1 "6" 1 4 4 20 3 0
