"id" "setsize" "setsize_lin" "n_IIP" "n_IOP" "n_NPL" "IIP" "IOP" "NPL" "total"
"261" 1 "8" 3 1 1 1 22 0 1 23
"262" 10 "8" 3 1 1 1 21 0 2 23
"263" 11 "8" 3 1 1 1 20 0 3 23
"264" 12 "8" 3 1 1 1 18 0 5 23
"265" 13 "8" 3 1 1 1 22 0 1 23
"266" 14 "8" 3 1 1 1 19 0 4 23
"267" 15 "8" 3 1 1 1 22 0 1 23
"268" 16 "8" 3 1 1 1 20 0 3 23
"269" 17 "8" 3 1 1 1 22 0 1 23
"270" 18 "8" 3 1 1 1 22 0 1 23
"271" 19 "8" 3 1 1 1 23 0 0 23
"272" 2 "8" 3 1 1 1 19 0 4 23
"273" 20 "8" 3 1 1 1 23 0 0 23
"274" 3 "8" 3 1 1 1 20 0 3 23
"275" 4 "8" 3 1 1 1 21 0 2 23
"276" 5 "8" 3 1 1 1 23 0 0 23
"277" 6 "8" 3 1 1 1 17 0 6 23
"278" 7 "8" 3 1 1 1 19 0 4 23
"279" 8 "8" 3 1 1 1 22 0 1 23
"280" 9 "8" 3 1 1 1 19 0 4 23
"281" 1 "2" -3 1 2 2 23 0 0 23
"282" 10 "2" -3 1 2 2 23 0 0 23
"283" 11 "2" -3 1 2 2 22 1 0 23
"284" 12 "2" -3 1 2 2 21 0 2 23
"285" 13 "2" -3 1 2 2 23 0 0 23
"286" 14 "2" -3 1 2 2 23 0 0 23
"287" 15 "2" -3 1 2 2 23 0 0 23
"288" 16 "2" -3 1 2 2 23 0 0 23
"289" 17 "2" -3 1 2 2 23 0 0 23
"290" 18 "2" -3 1 2 2 23 0 0 23
"291" 19 "2" -3 1 2 2 22 1 0 23
"292" 2 "2" -3 1 2 2 23 0 0 23
"293" 20 "2" -3 1 2 2 23 0 0 23
"294" 3 "2" -3 1 2 2 23 0 0 23
"295" 4 "2" -3 1 2 2 23 0 0 23
"296" 5 "2" -3 1 2 2 23 0 0 23
"297" 6 "2" -3 1 2 2 19 2 2 23
"298" 7 "2" -3 1 2 2 23 0 0 23
"299" 8 "2" -3 1 2 2 23 0 0 23
"300" 9 "2" -3 1 2 2 22 0 1 23
"301" 1 "4" -1 1 2 2 23 0 0 23
"302" 10 "4" -1 1 2 2 22 0 1 23
"303" 11 "4" -1 1 2 2 23 0 0 23
"304" 12 "4" -1 1 2 2 20 2 1 23
"305" 13 "4" -1 1 2 2 23 0 0 23
"306" 14 "4" -1 1 2 2 19 1 3 23
"307" 15 "4" -1 1 2 2 22 0 1 23
"308" 16 "4" -1 1 2 2 20 1 2 23
"309" 17 "4" -1 1 2 2 23 0 0 23
"310" 18 "4" -1 1 2 2 23 0 0 23
"311" 19 "4" -1 1 2 2 22 1 0 23
"312" 2 "4" -1 1 2 2 22 1 0 23
"313" 20 "4" -1 1 2 2 22 1 0 23
"314" 3 "4" -1 1 2 2 23 0 0 23
"315" 4 "4" -1 1 2 2 23 0 0 23
"316" 5 "4" -1 1 2 2 23 0 0 23
"317" 6 "4" -1 1 2 2 19 2 2 23
"318" 7 "4" -1 1 2 2 21 2 0 23
"319" 8 "4" -1 1 2 2 23 0 0 23
"320" 9 "4" -1 1 2 2 23 0 0 23
"321" 1 "6" 1 1 2 2 21 2 0 23
"322" 10 "6" 1 1 2 2 23 0 0 23
"323" 11 "6" 1 1 2 2 21 2 0 23
"324" 12 "6" 1 1 2 2 17 3 3 23
"325" 13 "6" 1 1 2 2 19 1 3 23
"326" 14 "6" 1 1 2 2 21 1 1 23
"327" 15 "6" 1 1 2 2 22 1 0 23
"328" 16 "6" 1 1 2 2 15 6 2 23
"329" 17 "6" 1 1 2 2 21 0 2 23
"330" 18 "6" 1 1 2 2 21 2 0 23
"331" 19 "6" 1 1 2 2 23 0 0 23
"332" 2 "6" 1 1 2 2 22 1 0 23
"333" 20 "6" 1 1 2 2 20 1 2 23
"334" 3 "6" 1 1 2 2 21 1 1 23
"335" 4 "6" 1 1 2 2 22 1 0 23
"336" 5 "6" 1 1 2 2 17 5 1 23
"337" 6 "6" 1 1 2 2 18 2 3 23
"338" 7 "6" 1 1 2 2 16 2 5 23
